host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating
100%,100%,49.224,-123.076,3,2.0,2.0,$100.00,2,28,96.0
,,49.24558,-123.10589,6,3.0,8.0,$310.00,3,4,100.0
100%,100%,49.26678,-123.18156,6,3.0,3.0,$395.00,30,43,96.0
,0%,49.27772,-123.06646,4,2.0,2.0,$185.00,3,23,98.0
,,49.21398,-123.13225,4,2.0,2.0,$120.00,3,36,96.0
,,49.28979,-123.12419,4,2.0,2.0,$668.00,31,1,
,,49.27928,-123.08805,2,1.0,1.0,$99.00,2,177,99.0
,100%,49.25744,-123.10509,4,1.0,3.0,$170.00,1,132,90.0
100%,89%,49.28716,-123.12709,4,2.0,2.0,$289.00,30,52,100.0
60%,0%,49.26534,-123.11195,8,4.0,4.0,$279.00,2,33,94.0
,,49.27951,-123.11818,3,1.0,1.0,$100.00,31,45,98.0
100%,93%,49.29021,-123.05265,3,1.0,2.0,$100.00,2,116,99.0
100%,86%,49.23522,-123.07804,6,2.0,3.0,$112.00,30,26,100.0
100%,100%,49.22547,-123.07566,3,2.0,3.0,$89.00,2,0,
100%,100%,49.23711,-123.07616,5,2.0,2.0,$90.00,30,27,96.0
,,49.27626,-123.11505,3,1.0,2.0,$100.00,365,4,100.0
100%,100%,49.27295,-123.07359,4,2.0,2.0,$149.00,4,33,97.0
100%,33%,49.28019,-123.09783,2,1.0,1.0,$38.00,30,69,98.0
100%,83%,49.26683,-123.17744,10,2.0,4.0,$238.00,1,159,98.0
100%,100%,49.27486,-123.11602,3,1.0,1.0,$142.00,30,25,97.0
100%,98%,49.28621,-123.12506,2,1.0,1.0,$142.00,1,175,95.0
100%,50%,49.28249,-123.1243,4,2.0,3.0,$70.00,30,34,99.0
,100%,49.2922,-123.14128,2,,1.0,$148.00,30,9,98.0
,,49.26681,-123.09716,2,1.0,1.0,$110.00,1,202,99.0
,,49.27496,-123.12725,2,1.0,1.0,$89.00,30,16,98.0
80%,14%,49.28455,-123.10707,2,1.0,1.0,$149.00,1,47,100.0
100%,91%,49.25877,-123.0653,4,3.0,3.0,$80.00,4,66,84.0
67%,,49.23516,-123.07951,3,2.0,2.0,$65.00,30,26,99.0
,,49.26359,-123.03654,6,3.0,2.0,$120.00,2,3,100.0
100%,87%,49.23134,-123.14207,2,1.0,1.0,$118.00,30,39,95.0
,,49.26917,-123.09949,2,1.0,1.0,$150.00,30,0,
100%,85%,49.27704,-123.12395,2,,1.0,$117.00,30,15,99.0
,,49.25158,-123.07801,7,3.0,4.0,$249.00,5,15,96.0
,,49.28709,-123.13615,2,1.0,1.0,$90.00,2,27,96.0
,,49.28029,-123.12526,4,,2.0,$115.00,30,90,92.0
100%,89%,49.2688,-123.05555,2,1.0,2.0,$99.00,3,100,98.0
90%,46%,49.2662,-123.17177,2,1.0,1.0,$150.00,3,5,60.0
100%,50%,49.2635,-123.08629,6,2.0,3.0,$338.00,30,92,98.0
100%,96%,49.27929,-123.13063,2,,1.0,$118.00,30,33,98.0
71%,47%,49.27078,-123.06946,6,3.0,4.0,$245.00,2,2,100.0
92%,75%,49.2394,-123.08998,1,1.0,1.0,$44.00,30,5,88.0
100%,100%,49.24582,-123.11826,6,1.0,2.0,$193.00,2,73,94.0
100%,84%,49.28036,-123.1184,2,1.0,1.0,$151.00,32,1,100.0
100%,67%,49.26153,-123.13439,2,1.0,1.0,$35.00,30,30,97.0
100%,100%,49.24992,-123.08071,6,3.0,3.0,$194.00,1,172,98.0
100%,25%,49.26504,-123.18525,4,3.0,3.0,$357.00,4,14,100.0
75%,88%,49.28035,-123.12505,1,1.0,1.0,$68.00,33,3,100.0
100%,81%,49.26419,-123.07647,7,3.0,3.0,$406.00,2,50,96.0
100%,96%,49.2663,-123.04275,2,1.0,1.0,$80.00,4,92,99.0
,93%,49.27289,-123.07405,2,1.0,1.0,$55.00,3,86,96.0
80%,100%,49.21417,-123.08368,4,2.0,2.0,$94.00,2,346,96.0
100%,100%,49.25354,-123.09635,4,2.0,3.0,$75.00,30,59,98.0
93%,87%,49.27595,-123.12579,4,1.0,1.0,$90.00,30,7,83.0
,,49.26787,-123.0652,4,,2.0,$128.00,3,93,97.0
,100%,49.27756,-123.12097,2,1.0,1.0,$85.00,30,5,100.0
,,49.27953,-123.12046,2,1.0,1.0,$239.00,30,34,97.0
,,49.27844,-123.05203,2,1.0,1.0,$69.00,3,36,91.0
,100%,49.26725,-123.11024,4,,2.0,$458.00,1,161,97.0
100%,96%,49.27713,-123.11994,4,1.0,2.0,$100.00,30,14,94.0
100%,69%,49.25975,-123.15494,4,2.0,2.0,$125.00,4,8,100.0
100%,98%,49.27381,-123.20692,7,3.0,3.0,$523.00,2,96,99.0
100%,74%,49.28117,-123.05231,4,2.0,2.0,$82.00,3,139,94.0
100%,89%,49.2701,-123.1797,4,2.0,2.0,$100.00,2,64,98.0
100%,92%,49.26252,-123.18165,3,1.0,2.0,$103.00,1,249,98.0
100%,85%,49.27665,-123.1208,2,1.0,1.0,$130.00,30,8,100.0
,,49.26676,-123.15638,1,1.0,1.0,$40.00,30,3,100.0
,,49.232,-123.05679,2,1.0,1.0,$70.00,2,38,97.0
90%,88%,49.24952,-123.07457,2,1.0,2.0,$89.00,2,97,94.0
,,49.28138,-123.11857,3,1.0,1.0,$115.00,30,16,97.0
100%,83%,49.26583,-123.18669,4,2.0,3.0,$128.00,1,227,96.0
100%,100%,49.28161,-123.11777,6,2.0,4.0,$250.00,30,5,100.0
,,49.2621,-123.18197,6,3.0,4.0,$250.00,5,8,98.0
100%,100%,49.26986,-123.14874,4,2.0,2.0,$199.00,30,35,97.0
95%,100%,49.25873,-123.10987,3,1.0,2.0,$131.00,30,45,91.0
100%,94%,49.2793,-123.10922,6,3.0,3.0,$172.00,2,274,99.0
100%,100%,49.24309,-123.07419,4,2.0,2.0,$90.00,2,80,98.0
100%,0%,49.28031,-123.10696,5,1.0,3.0,$69.00,1,155,90.0
100%,100%,49.28556,-123.13326,2,1.0,1.0,$89.00,30,5,100.0
100%,95%,49.23802,-123.16885,4,2.0,3.0,$111.00,2,158,99.0
,,49.26238,-123.06402,2,1.0,1.0,$98.00,30,48,98.0
,,49.27324,-123.15193,3,1.0,1.0,$111.00,6,6,100.0
,,49.27878,-123.10797,4,1.0,2.0,$108.00,1,54,95.0
,,49.23581,-123.10871,8,3.0,4.0,$250.00,1,3,87.0
100%,100%,49.23453,-123.16569,4,1.0,1.0,$125.00,3,67,98.0
100%,100%,49.25546,-123.12465,6,2.0,3.0,$350.00,3,30,98.0
,,49.25333,-123.12648,3,1.0,1.0,$74.00,90,64,98.0
100%,99%,49.23911,-123.1482,3,1.0,2.0,$100.00,30,30,98.0
100%,0%,49.23359,-123.09929,2,1.0,1.0,$110.00,5,74,98.0
100%,91%,49.26847,-123.10601,2,1.0,2.0,$99.00,30,26,99.0
,,49.28031,-123.12435,5,2.0,3.0,$300.00,7,9,98.0
100%,98%,49.28079,-123.12536,2,,1.0,$99.00,1,228,95.0
100%,100%,49.25881,-123.14922,2,1.0,1.0,$130.00,30,35,94.0
80%,92%,49.27907,-123.10671,2,1.0,1.0,$80.00,16,23,96.0
100%,100%,49.25767,-123.1491,4,2.0,2.0,$256.00,30,43,94.0
100%,100%,49.27936,-123.12097,3,1.0,1.0,$100.00,30,71,96.0
100%,92%,49.24074,-123.08718,2,1.0,1.0,$59.00,2,110,95.0
100%,100%,49.25712,-123.14907,4,2.0,2.0,$150.00,30,41,94.0
,,49.27196,-123.06405,4,3.0,3.0,$150.00,5,11,100.0
,67%,49.23914,-123.06458,4,2.0,2.0,$85.00,1,121,93.0
100%,100%,49.27767,-123.12908,2,1.0,1.0,$80.00,30,90,96.0
,,49.27837,-123.09956,2,1.0,1.0,$152.00,30,6,100.0
100%,100%,49.25836,-123.12625,3,1.0,2.0,$108.00,30,42,100.0
,100%,49.26344,-123.13135,3,1.0,2.0,$185.00,1,84,92.0
100%,100%,49.28823,-123.14223,2,1.0,1.0,$300.00,3,52,100.0
100%,31%,49.26643,-123.04988,4,2.0,2.0,$100.00,30,28,96.0
100%,100%,49.28046,-123.12091,4,2.0,2.0,$224.00,30,78,100.0
,,49.25462,-123.11103,6,3.0,4.0,$236.00,2,50,96.0
100%,86%,49.27738,-123.07444,7,3.0,6.0,$216.00,30,3,100.0
100%,,49.22838,-123.10111,8,4.0,4.0,$627.00,6,6,100.0
,,49.27896,-123.13227,3,1.0,1.0,$125.00,2,21,99.0
100%,100%,49.26577,-123.06892,6,2.0,3.0,$193.00,1,236,100.0
,,49.24532,-123.07588,4,1.0,2.0,$103.00,2,59,93.0
100%,60%,49.23924,-123.08398,2,1.0,1.0,$61.00,30,27,97.0
100%,96%,49.25343,-123.10752,4,2.0,3.0,$124.00,1,150,99.0
100%,100%,49.25703,-123.15105,6,3.0,3.0,$395.00,30,45,97.0
,,49.26694,-123.16971,4,2.0,3.0,$250.00,5,9,96.0
100%,100%,49.25237,-123.09729,4,1.0,2.0,$118.00,2,173,98.0
100%,100%,49.2592,-123.1497,4,2.0,2.0,$250.00,30,51,90.0
60%,71%,49.2555,-123.09562,3,2.0,2.0,$100.00,31,22,95.0
100%,100%,49.27737,-123.13023,1,1.0,1.0,$85.00,7,3,100.0
100%,100%,49.26082,-123.16845,2,1.0,1.0,$91.00,2,165,92.0
,,49.27188,-123.07267,4,1.0,1.0,$225.00,3,12,98.0
,,49.27766,-123.1096,2,1.0,1.0,$85.00,1,75,97.0
,,49.28631,-123.12253,2,1.0,1.0,$100.00,30,36,96.0
100%,100%,49.28627,-123.04713,3,1.0,1.0,$75.00,7,111,98.0
,,49.2664,-123.13748,3,1.0,1.0,$94.00,1,33,88.0
,,49.24118,-123.09683,7,3.0,5.0,$300.00,3,7,100.0
100%,70%,49.27968,-123.10883,5,2.0,3.0,$230.00,3,126,99.0
100%,100%,49.2602,-123.21289,8,5.0,6.0,$975.00,5,16,99.0
,,49.22144,-123.15405,2,1.0,1.0,$80.00,3,19,88.0
,82%,49.27917,-123.10087,3,1.0,1.0,$81.00,2,68,97.0
,,49.28219,-123.12516,2,,1.0,$200.00,1,132,97.0
91%,100%,49.27105,-123.18454,1,1.0,1.0,$51.00,30,47,97.0
100%,100%,49.27865,-123.12027,2,,1.0,$90.00,31,16,96.0
,,49.23266,-123.02385,3,1.0,2.0,$85.00,2,162,97.0
100%,90%,49.24797,-123.06857,5,2.0,2.0,$120.00,5,31,86.0
,90%,49.2814,-123.10845,7,3.0,4.0,$264.00,5,140,97.0
100%,100%,49.21794,-123.14169,5,2.0,2.0,$100.00,4,156,95.0
,,49.27322,-123.15093,3,1.0,1.0,$75.00,1,52,97.0
100%,100%,49.26456,-123.12753,2,1.0,1.0,$171.00,5,66,98.0
,,49.26705,-123.15698,2,1.0,1.0,$80.00,14,3,90.0
75%,100%,49.27275,-123.15295,2,1.0,2.0,$225.00,1,12,95.0
92%,75%,49.23946,-123.08818,1,2.0,1.0,$50.00,30,7,86.0
100%,98%,49.28731,-123.12592,2,1.0,1.0,$160.00,30,29,98.0
,,49.27795,-123.06427,4,2.0,2.0,$200.00,30,26,100.0
,,49.26486,-123.18136,4,1.0,2.0,$120.00,14,44,97.0
100%,100%,49.27828,-123.11859,4,2.0,2.0,$175.00,30,157,96.0
100%,100%,49.27704,-123.12217,2,1.0,1.0,$95.00,30,15,97.0
,,49.28904,-123.13452,2,,1.0,$120.00,4,3,93.0
95%,90%,49.28681,-123.12323,4,2.0,2.0,$268.00,30,0,
88%,85%,49.27804,-123.06098,4,2.0,2.0,$49.00,30,14,100.0
,,49.28045,-123.11172,2,1.0,1.0,$249.00,1,101,97.0
100%,,49.26207,-123.15378,4,2.0,2.0,$300.00,20,9,93.0
,,49.27263,-123.09972,1,1.0,1.0,$175.00,1,31,98.0
100%,100%,49.24055,-123.09041,6,3.0,3.0,$185.00,3,69,91.0
100%,98%,49.27928,-123.10821,2,1.0,1.0,$180.00,2,178,93.0
,,49.2801,-123.09948,2,1.0,1.0,$113.00,3,56,95.0
71%,93%,49.27735,-123.12718,3,1.0,2.0,$72.00,30,6,97.0
100%,31%,49.26656,-123.04979,3,1.0,1.0,$63.00,30,36,97.0
,,49.2776,-123.06675,5,2.0,2.0,$395.00,5,6,100.0
,100%,49.26848,-123.06897,2,1.0,1.0,$118.00,2,91,96.0
100%,88%,49.27055,-123.18922,2,1.0,1.0,$150.00,3,62,99.0
,100%,49.26387,-123.18203,5,2.0,2.0,$248.00,2,46,88.0
,,49.2849,-123.02923,3,1.0,2.0,$149.00,4,13,94.0
93%,36%,49.28742,-123.12805,3,1.0,2.0,$90.00,30,1,100.0
100%,100%,49.2236,-123.1589,10,4.0,5.0,$348.00,2,91,96.0
100%,94%,49.28118,-123.12537,4,1.0,2.0,$229.00,30,186,99.0
,,49.2665,-123.14857,2,1.0,1.0,$157.00,30,2,100.0
,,49.22801,-123.19539,6,3.0,4.0,$270.00,2,12,95.0
100%,95%,49.26,-123.18298,2,1.0,2.0,$79.00,1,119,97.0
100%,100%,49.27285,-123.12343,6,3.0,3.0,$231.00,30,57,99.0
93%,36%,49.2905,-123.12653,2,1.0,1.0,$80.00,30,2,90.0
100%,89%,49.23298,-123.09754,1,1.0,1.0,$24.00,60,10,98.0
,,49.25063,-123.08306,10,5.0,7.0,$499.00,3,27,100.0
93%,36%,49.2891,-123.12837,2,,1.0,$65.00,30,3,100.0
,,49.26849,-123.15788,2,1.0,1.0,$175.00,7,0,
100%,98%,49.27029,-123.04597,6,2.0,3.0,$92.00,2,124,97.0
100%,100%,49.2606,-123.06207,2,1.0,2.0,$105.00,31,37,99.0
100%,100%,49.24831,-123.18431,4,2.0,2.0,$75.00,30,5,92.0
,,49.2484,-123.04816,4,2.0,2.0,$151.00,3,50,99.0
,,49.2569,-123.19638,1,1.0,1.0,$43.00,30,2,40.0
100%,100%,49.28783,-123.04268,5,3.0,3.0,$99.00,2,215,98.0
,,49.28297,-123.06153,7,3.0,3.0,$225.00,1,28,91.0
100%,100%,49.22333,-123.15761,5,2.0,2.0,$265.00,2,55,97.0
95%,100%,49.25841,-123.11305,4,2.0,2.0,$120.00,30,32,90.0
100%,100%,49.25895,-123.16627,3,3.0,5.0,$128.00,4,117,99.0
,,49.27751,-123.13336,6,3.0,3.0,$285.00,3,24,100.0
80%,14%,49.28258,-123.10833,2,1.0,1.0,$179.00,1,9,93.0
,,49.28026,-123.11845,2,1.0,1.0,$159.00,30,2,
80%,53%,49.24242,-123.16926,1,1.0,1.0,$30.00,30,2,100.0
,,49.27745,-123.12767,1,1.0,1.0,$91.00,1,158,95.0
100%,67%,49.26965,-123.15376,2,1.0,1.0,$34.00,1,97,91.0
100%,100%,49.28215,-123.12503,2,1.0,2.0,$85.00,30,18,99.0
100%,100%,49.22844,-123.09713,2,1.0,1.0,$75.00,3,59,96.0
100%,100%,49.2285,-123.09674,2,1.0,1.0,$65.00,3,49,95.0
,,49.28357,-123.05649,2,1.0,1.0,$46.00,3,60,95.0
100%,89%,49.26066,-123.11585,4,2.0,2.0,$250.00,30,23,99.0
,,49.25986,-123.12692,2,1.0,1.0,$85.00,30,8,90.0
,,49.23178,-123.02587,2,1.0,1.0,$55.00,7,10,86.0
,,49.27729,-123.05511,6,2.0,3.0,$100.00,3,24,94.0
,,49.23939,-123.09124,2,1.0,1.0,$165.00,31,3,87.0
,100%,49.27765,-123.04208,6,2.0,2.0,$100.00,2,107,94.0
93%,36%,49.27748,-123.12211,2,1.0,1.0,$91.00,180,0,
,100%,49.26084,-123.09042,7,3.0,3.0,$99.00,4,14,99.0
100%,100%,49.26144,-123.1851,2,1.0,1.0,$78.00,3,19,87.0
100%,100%,49.25912,-123.08006,4,2.0,2.0,$120.00,1,79,99.0
100%,100%,49.27449,-123.03915,2,1.0,1.0,$75.00,5,61,98.0
71%,93%,49.29019,-123.12516,3,1.0,2.0,$84.00,30,21,90.0
,,49.26156,-123.14305,2,1.0,1.0,$205.00,2,4,95.0
100%,67%,49.28548,-123.13309,4,2.0,3.0,$249.00,4,19,92.0
,44%,49.26615,-123.16606,2,,1.0,$83.00,1,168,97.0
100%,67%,49.26584,-123.15036,2,,1.0,$70.00,30,47,100.0
71%,93%,49.2884,-123.12605,3,1.0,2.0,$78.00,30,22,85.0
100%,84%,49.27968,-123.11787,2,1.0,1.0,$151.00,32,4,95.0
100%,86%,49.23139,-123.15835,4,1.0,2.0,$85.00,1,116,99.0
100%,91%,49.25952,-123.07153,4,2.0,2.0,$115.00,3,31,93.0
100%,89%,49.26488,-123.12248,5,3.0,3.0,$246.00,30,34,97.0
,,49.26349,-123.15764,4,1.0,1.0,$36.00,30,3,60.0
90%,100%,49.28378,-123.11988,4,2.0,2.0,$198.00,30,23,94.0
90%,93%,49.28389,-123.10265,3,1.0,1.0,$219.00,5,118,95.0
80%,63%,49.28,-123.12305,3,1.0,1.0,$400.00,2,10,100.0
,0%,49.25421,-123.09876,7,3.0,3.0,$450.00,3,9,98.0
,,49.23272,-123.13075,12,2.0,12.0,$200.00,2,8,83.0
100%,100%,49.28483,-123.04634,1,1.0,0.0,$38.00,5,5,100.0
100%,,49.27818,-123.12152,2,1.0,1.0,$250.00,31,1,100.0
100%,100%,49.28435,-123.13874,2,,1.0,$102.00,2,24,98.0
,,49.28097,-123.06788,2,1.0,1.0,$41.00,4,81,98.0
71%,93%,49.29373,-123.13452,4,1.0,2.0,$76.00,30,2,70.0
100%,100%,49.2681,-123.06925,2,1.0,1.0,$89.00,3,6,87.0
100%,100%,49.24811,-123.0798,4,2.0,2.0,$98.00,2,24,99.0
100%,100%,49.24404,-123.10111,2,1.0,1.0,$105.00,7,111,99.0
100%,89%,49.23527,-123.09903,1,1.0,1.0,$31.00,60,5,100.0
100%,100%,49.26702,-123.16867,4,2.0,2.0,$200.00,2,94,91.0
90%,83%,49.28275,-123.04518,4,1.0,2.0,$55.00,1,195,91.0
,,49.2699,-123.21403,2,1.0,1.0,$157.00,31,15,95.0
,,49.25098,-123.11711,5,2.0,4.0,$86.00,2,6,100.0
100%,100%,49.25407,-123.09567,4,2.0,2.0,$143.00,1,137,96.0
,,49.25852,-123.10447,6,3.0,4.0,$400.00,2,1,100.0
,,49.29292,-123.13608,1,2.0,1.0,$157.00,2,8,95.0
,,49.27848,-123.12038,2,1.0,1.0,$92.00,30,14,99.0
100%,100%,49.26316,-123.04757,4,1.0,2.0,$100.00,1,47,99.0
100%,100%,49.22652,-123.09526,2,1.0,1.0,$75.00,3,57,95.0
,,49.23739,-123.18361,2,1.0,1.0,$128.00,1,9,90.0
,,49.25203,-123.18378,3,1.0,2.0,$80.00,3,21,96.0
100%,95%,49.27882,-123.11099,5,2.0,3.0,$335.00,6,113,97.0
,,49.21444,-123.10697,2,1.0,1.0,$98.00,2,21,99.0
100%,88%,49.27714,-123.09857,5,2.0,3.0,$122.00,30,35,91.0
100%,88%,49.26312,-123.048,1,1.0,1.0,$46.00,1,171,98.0
100%,100%,49.22338,-123.03558,3,,1.0,$44.00,1,45,93.0
100%,100%,49.27532,-123.05067,2,,1.0,$80.00,7,47,95.0
,100%,49.26463,-123.16143,2,1.0,1.0,$100.00,2,7,100.0
67%,100%,49.24156,-123.04932,2,1.0,1.0,$60.00,2,93,96.0
67%,100%,49.24196,-123.04993,2,1.0,1.0,$55.00,2,84,97.0
,,49.27379,-123.06237,1,1.0,1.0,$33.00,60,2,90.0
92%,75%,49.24141,-123.09008,1,1.0,1.0,$24.00,30,3,93.0
,,49.26983,-123.213,4,2.0,2.0,$160.00,31,20,96.0
,,49.26776,-123.21419,2,1.0,1.0,$140.00,31,18,94.0
,,49.28152,-123.11645,2,1.0,1.0,$170.00,30,1,100.0
,,49.25155,-123.0623,4,2.0,2.0,$238.00,3,1,100.0
,,49.28185,-123.10007,2,1.0,1.0,$90.00,3,7,94.0
,,49.26571,-123.13241,1,1.0,1.0,$96.00,1,23,95.0
,,49.27387,-123.05153,1,1.0,1.0,$68.00,185,0,
,,49.23128,-123.14061,2,1.0,1.0,$30.00,3,1,80.0
100%,96%,49.2833,-123.12769,2,1.0,1.0,$65.00,2,200,87.0
100%,0%,49.2802,-123.06112,4,1.0,0.0,$200.00,2,21,97.0
100%,100%,49.25915,-123.14504,2,1.0,1.0,$283.00,1,2,100.0
100%,100%,49.27032,-123.147,4,2.0,2.0,$206.00,30,4,95.0
,100%,49.28043,-123.10564,2,1.0,1.0,$120.00,30,127,99.0
,,49.28531,-123.11826,2,1.0,2.0,$200.00,1,21,91.0
,,49.25147,-123.16079,10,4.0,4.0,$389.00,3,18,99.0
,,49.27668,-123.06058,1,1.0,1.0,$46.00,1,1,
100%,86%,49.28261,-123.1029,4,1.0,1.0,$300.00,7,48,98.0
,,49.26769,-123.16714,4,2.0,2.0,$190.00,3,13,92.0
100%,100%,49.26697,-123.04348,4,2.0,3.0,$107.00,3,247,98.0
96%,100%,49.24871,-123.05501,2,1.0,1.0,$46.00,1,354,95.0
100%,91%,49.22267,-123.03604,2,1.0,1.0,$65.00,3,5,92.0
50%,82%,49.28003,-123.12294,4,1.0,1.0,$135.00,1,19,81.0
,,49.284,-123.1336,2,1.0,1.0,"$2,100.00",30,11,100.0
100%,,49.27636,-123.11982,2,1.0,1.0,$55.00,30,26,93.0
,,49.28522,-123.13511,2,1.0,1.0,$150.00,2,5,100.0
,,49.21424,-123.11441,2,1.0,1.0,$49.00,3,40,93.0
,,49.2127,-123.11602,2,1.0,1.0,$55.00,3,51,98.0
,,49.22845,-123.11504,2,1.0,2.0,$70.00,360,186,96.0
100%,0%,49.26267,-123.08365,1,1.0,0.0,$99.00,70,5,85.0
83%,60%,49.28264,-123.11427,5,5.0,6.0,$980.00,2,21,93.0
100%,100%,49.27957,-123.13028,3,1.0,2.0,$70.00,30,47,96.0
,,49.28264,-123.11427,2,1.0,1.0,$100.00,1,37,92.0
,100%,49.26451,-123.10783,2,1.0,1.0,$299.00,30,97,95.0
,,49.28264,-123.11427,2,1.0,2.0,$92.00,1,21,91.0
84%,55%,49.24551,-123.08933,4,2.0,2.0,$69.00,2,113,95.0
100%,95%,49.27929,-123.10709,2,1.0,1.0,$66.00,1,275,98.0
100%,100%,49.24188,-123.05401,2,1.0,1.0,$71.00,2,159,95.0
100%,100%,49.26985,-123.06766,2,1.0,1.0,$75.00,1,76,98.0
100%,100%,49.26038,-123.07115,2,1.0,1.0,$80.00,4,43,98.0
100%,100%,49.25959,-123.18791,2,1.0,1.0,$99.00,3,29,96.0
,,49.26616,-123.09891,4,2.0,2.0,$200.00,30,2,100.0
100%,95%,49.26777,-123.03869,4,1.0,2.0,$89.00,1,119,96.0
,,49.22671,-123.11416,2,1.0,1.0,$60.00,360,132,96.0
100%,,49.27788,-123.12107,2,1.0,1.0,$92.00,60,1,100.0
,100%,49.2271,-123.05468,2,1.0,1.0,$98.00,2,32,94.0
100%,83%,49.23973,-123.16704,4,2.0,3.0,$169.00,2,80,91.0
,,49.27568,-123.06916,6,3.0,3.0,$206.00,3,117,99.0
100%,88%,49.26073,-123.1072,4,2.0,3.0,$150.00,31,9,100.0
100%,100%,49.28111,-123.05747,2,1.0,1.0,$70.00,30,85,100.0
100%,100%,49.27897,-123.12625,2,1.0,1.0,$80.00,31,9,100.0
100%,89%,49.26339,-123.12186,5,3.0,3.0,$304.00,30,26,98.0
,,49.26564,-123.10106,2,1.0,1.0,$125.00,30,15,96.0
100%,97%,49.2792,-123.09849,4,2.0,2.0,$225.00,2,16,94.0
,,49.2728,-123.07355,4,1.0,1.0,$125.00,2,52,95.0
100%,100%,49.28002,-123.11053,4,2.0,2.0,$109.00,30,4,93.0
100%,100%,49.24788,-123.08138,2,1.0,1.0,$100.00,1,87,94.0
83%,60%,49.28264,-123.11427,2,1.0,1.0,$92.00,1,48,90.0
0%,14%,49.27215,-123.17969,2,1.0,2.0,$60.00,1,167,97.0
,,49.26431,-123.12104,2,1.0,1.0,$95.00,5,8,95.0
100%,100%,49.27609,-123.12527,2,1.0,1.0,$135.00,30,8,100.0
,,49.26027,-123.1263,2,1.0,1.0,$85.00,30,9,87.0
,0%,49.23654,-123.10156,2,1.0,1.0,$117.00,1,7,94.0
,,49.28402,-123.11612,6,2.0,3.0,$150.00,90,1,100.0
,,49.25089,-123.09095,4,2.0,2.0,$223.00,2,9,100.0
91%,94%,49.27524,-123.13415,4,2.0,2.0,$196.00,30,43,92.0
100%,89%,49.28149,-123.09971,3,2.0,2.0,$106.00,30,34,97.0
,100%,49.27811,-123.13095,2,,1.0,$100.00,30,4,100.0
,,49.27461,-123.13082,2,1.0,1.0,$160.00,90,0,
100%,96%,49.2833,-123.12769,2,1.0,1.0,$148.00,2,101,92.0
,,49.26024,-123.12837,2,1.0,1.0,$100.00,30,10,88.0
90%,100%,49.22985,-123.04255,1,,0.0,$50.00,2,66,96.0
,,49.26968,-123.06175,6,3.0,4.0,$259.00,3,3,93.0
,,49.27713,-123.13408,2,1.0,1.0,$89.00,2,18,95.0
100%,91%,49.28186,-123.10567,2,1.0,1.0,$100.00,30,169,95.0
100%,100%,49.26489,-123.15048,2,1.0,1.0,$165.00,2,160,98.0
100%,100%,49.28744,-123.12688,4,2.0,3.0,$275.00,30,51,96.0
100%,94%,49.23138,-123.10445,2,1.0,1.0,$99.00,2,147,100.0
100%,67%,49.25331,-123.11395,4,2.0,2.0,$120.00,30,54,100.0
,,49.24988,-123.1038,2,1.0,1.0,$125.00,30,1,60.0
67%,100%,49.23965,-123.04831,2,1.0,1.0,$50.00,2,47,98.0
100%,100%,49.2326,-123.08251,3,2.0,3.0,$89.00,30,9,100.0
,100%,49.23937,-123.04057,3,1.0,1.0,$80.00,28,111,99.0
,,49.28329,-123.09708,2,1.0,2.0,$145.00,31,7,100.0
,0%,49.26099,-123.17281,2,1.0,1.0,$150.00,2,81,98.0
100%,96%,49.27906,-123.1088,6,2.0,3.0,$255.00,30,119,98.0
100%,98%,49.27968,-123.12604,4,2.0,2.0,$45.00,2,0,
,100%,49.2466,-123.13585,5,2.0,3.0,$198.00,2,34,98.0
93%,87%,49.27969,-123.12319,4,1.0,1.0,$84.00,30,1,80.0
50%,50%,49.26993,-123.16528,5,2.0,3.0,$217.00,7,96,97.0
,0%,49.2935,-123.13451,3,1.0,1.0,$200.00,2,91,95.0
91%,94%,49.27297,-123.12575,6,3.0,3.0,$275.00,30,2,100.0
,,49.24711,-123.1417,8,4.0,4.0,$320.00,2,36,95.0
100%,100%,49.26635,-123.16716,8,4.0,4.0,$808.00,5,17,99.0
,,49.25976,-123.12793,4,2.0,2.0,$110.00,30,11,98.0
100%,85%,49.27836,-123.12485,4,1.0,3.0,$151.00,2,51,100.0
100%,71%,49.26845,-123.09534,2,1.0,1.0,$225.00,30,0,
100%,88%,49.27817,-123.10875,4,2.0,2.0,$178.00,2,148,99.0
90%,81%,49.27754,-123.11257,2,2.0,1.0,$150.00,30,1,100.0
100%,100%,49.28407,-123.12277,3,1.0,2.0,$224.00,1,229,97.0
,,49.26985,-123.15506,6,2.0,4.0,$549.00,2,111,96.0
80%,,49.28,-123.09918,4,2.0,2.0,$206.00,30,1,100.0
100%,96%,49.24513,-123.10495,4,2.0,5.0,$171.00,3,107,99.0
,100%,49.287,-123.13204,2,1.0,1.0,$100.00,3,81,96.0
80%,,49.27376,-123.1284,2,2.0,2.0,$164.00,31,0,
100%,98%,49.28254,-123.06454,4,1.0,1.0,$70.00,2,209,94.0
100%,85%,49.28212,-123.12293,3,2.0,2.0,$140.00,30,17,100.0
,,49.29212,-123.13438,3,1.0,2.0,$79.00,30,14,88.0
100%,100%,49.22584,-123.13769,2,1.0,2.0,$139.00,2,64,94.0
100%,100%,49.28412,-123.12396,3,2.0,2.0,$119.00,2,116,90.0
